id,ext,agr,con,ner,open,about,activities,books,city,followers_count,friends_count,groups,interests,is_closed,movies,music,quotes,relation,sex,status,tv,video_count,wall_count
925142,0.8,0.5,0.7,0.8,0.8,0,0,0,2,283.0,463.0,69,0,0,0,0,0,0.0,2,113,0,157.0,1588.0
9608860,0.8,0.3,0.8,1.0,0.7,0,0,0,35,345.0,451.0,331,0,0,0,0,0,0.0,1,108,0,169.0,4930.0
3789820,0.69,0.79,0.71,0.68,0.8,142,0,6,2,174.0,205.0,34,10,0,0,0,994,0.0,1,9,0,153.0,1695.0
70653112,0.4,0.8,0.6,0.5,0.8,0,0,0,2,5.0,137.0,8,0,0,0,0,0,0.0,2,24,0,5.0,56.0
70653112,0.4,0.8,0.6,0.5,0.8,0,0,0,2,5.0,136.0,8,0,0,0,0,0,0.0,2,24,0,5.0,58.0
70653112,0.6,0.7,0.8,1.0,0.6,0,0,0,2,5.0,137.0,8,0,0,0,0,0,0.0,2,24,0,5.0,56.0
70653112,0.6,0.7,0.8,1.0,0.6,0,0,0,2,5.0,136.0,8,0,0,0,0,0,0.0,2,24,0,5.0,58.0
70653112,0.57,0.6,0.63,0.63,0.57,0,0,0,2,5.0,137.0,8,0,0,0,0,0,0.0,2,24,0,5.0,56.0
70653112,0.57,0.6,0.63,0.63,0.57,0,0,0,2,5.0,136.0,8,0,0,0,0,0,0.0,2,24,0,5.0,58.0
62759186,0.8,0.7,0.7,0.5,0.7,0,0,0,147,347.0,201.0,199,0,0,0,0,0,0.0,1,25,0,79.0,13.0
32286687,0.7,0.6,0.9,0.7,0.7,0,0,0,88,220.0,281.0,78,0,0,0,0,0,0.0,2,0,0,1424.0,246.0
169992910,0.6,0.5,0.8,0.7,0.7,0,0,0,147,136.0,137.0,42,0,0,0,0,0,0.0,1,0,0,13.0,0.0
204761338,0.7,0.9,0.9,0.9,0.8,0,0,0,2,107.0,216.0,206,0,0,0,0,0,0.0,2,0,0,128.0,9.0
522920836,0.9,0.6,0.6,1.0,0.7,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,21,0,0.0,0.0
183556461,0.76,0.59,0.81,0.55,0.79,0,0,0,19268,105.0,159.0,58,0,0,0,0,0,4.0,1,0,0,11.0,148.0
253431187,0.9,0.5,0.7,0.9,0.9,0,0,0,2,168.0,141.0,150,0,0,0,0,0,0.0,2,46,0,885.0,327.0
201599850,0.65,0.8,0.87,0.59,0.79,0,0,0,0,53.0,73.0,17,0,0,0,0,0,0.0,2,0,0,0.0,7.0
235962415,0.5,0.5,0.8,0.7,0.7,0,0,0,147,155.0,91.0,252,0,0,0,0,0,0.0,1,0,0,28.0,5.0
20774937,0.7,0.6,0.7,0.7,0.8,0,0,0,2,67.0,1665.0,262,0,0,0,0,0,0.0,1,14,0,587.0,2619.0
50684146,0.6,0.4,0.7,0.7,0.8,15,0,0,2,852.0,253.0,128,0,0,0,0,44,7.0,1,3,0,434.0,82.0
353269856,0.6,0.5,0.8,0.6,0.6,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,2,28,0,0.0,0.0
283906609,0.6,0.6,0.9,1.0,0.9,0,0,0,147,167.0,381.0,91,0,0,0,0,0,0.0,1,16,0,71.0,1.0
21099143,0.8,0.5,0.7,1.0,0.8,0,0,0,82,127.0,260.0,97,0,0,0,0,0,0.0,2,0,0,197.0,335.0
142799641,0.69,0.79,0.71,0.68,0.8,0,0,0,0,110.0,134.0,39,0,0,0,0,0,0.0,1,0,0,0.0,165.0
142799641,0.69,0.79,0.71,0.68,0.8,0,0,0,0,113.0,135.0,39,0,0,0,0,0,0.0,1,0,0,0.0,165.0
142799641,0.7,0.77,0.77,0.73,0.8,0,0,0,0,110.0,134.0,39,0,0,0,0,0,0.0,1,0,0,0.0,165.0
142799641,0.7,0.77,0.77,0.73,0.8,0,0,0,0,113.0,135.0,39,0,0,0,0,0,0.0,1,0,0,0.0,165.0
2277943,0.67,0.76,0.47,0.87,0.8,70,4,3,2,106.0,143.0,327,3,0,2,3,1427,6.0,2,0,54,27.0,5230.0
102617957,0.7,0.3,0.6,0.7,0.7,0,0,0,2,0.0,0.0,0,0,1,0,0,0,0.0,1,4,0,0.0,0.0
54972428,0.65,0.76,0.69,0.73,0.73,0,0,0,88,288.0,55.0,7,0,0,0,0,0,0.0,2,0,0,7.0,5.0
536429620,0.5,0.6,0.8,0.9,0.5,0,0,0,1904869,1.0,0.0,1,0,0,0,0,0,3.0,1,0,0,0.0,1.0
537778610,0.57,0.65,0.61,0.77,0.64,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
1548876,0.64,0.65,0.67,0.81,0.69,0,0,0,2,168.0,233.0,117,0,0,0,0,0,0.0,1,0,0,898.0,925.0
144097553,0.6,0.4,0.5,0.9,0.7,0,0,0,147,207.0,130.0,87,0,0,0,0,0,0.0,2,0,0,0.0,2.0
273128158,0.7,0.7,0.8,0.8,0.8,1,0,0,2,0.0,0.0,0,1,1,0,0,0,0.0,1,9,0,0.0,0.0
183313835,0.8,0.3,0.6,1.0,0.8,32,0,0,61,99.0,132.0,227,0,0,11,20,86,0.0,2,19,52,172.0,7359.0
123837212,0.71,0.73,0.75,0.41,0.79,0,0,0,0,82.0,95.0,27,0,0,0,0,0,0.0,2,0,0,42.0,1.0
224573095,0.6,0.8,1.0,0.9,0.9,0,0,0,147,81.0,97.0,119,0,0,0,0,0,0.0,1,0,0,11.0,2.0
188942,0.68,0.83,0.77,0.55,0.76,0,0,0,2,66.0,471.0,6,0,0,0,0,0,0.0,2,0,0,18.0,12.0
61970639,0.7,0.6,0.7,0.9,0.9,0,0,0,1,143.0,575.0,34,0,0,0,0,218,0.0,1,0,0,11.0,447.0
7954024,0.9,0.8,0.9,0.7,0.6,0,0,0,2,238.0,136.0,138,0,0,0,0,0,0.0,1,21,0,33.0,139.0
30907204,0.69,0.8,0.69,0.72,0.84,1432,0,0,354,155.0,1138.0,254,0,0,0,0,0,0.0,1,1,0,56.0,117.0
38978021,0.6,0.75,0.69,0.61,0.61,0,0,0,2,168.0,258.0,57,0,0,0,0,0,7.0,1,59,0,1.0,30.0
433506113,0.6,0.8,0.8,0.7,0.7,0,0,0,0,116.0,185.0,86,0,0,0,0,0,0.0,1,10,0,37.0,62.0
50361099,0.59,0.79,0.72,0.49,0.63,54,0,1,1,37.0,68.0,39,1,0,2,3,0,0.0,2,7,26,2.0,21.0
3005751,0.59,0.75,0.65,0.72,0.71,0,0,0,1,16.0,71.0,13,0,0,0,0,0,0.0,2,0,0,0.0,59.0
41700258,0.63,0.75,0.65,0.72,0.73,0,0,0,2,278.0,198.0,69,0,0,0,0,0,0.0,1,0,0,9.0,3.0
179319596,0.7,0.6,0.8,0.8,0.6,0,0,0,147,168.0,179.0,223,0,0,0,0,0,0.0,1,0,0,30.0,13.0
334830315,0.6,0.8,0.8,0.6,0.8,0,0,0,0,30.0,0.0,38,0,0,0,0,0,0.0,1,0,0,17.0,1.0
444582658,0.6,0.7,0.8,0.8,0.8,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,20,0,0.0,0.0
439274,0.6,0.4,0.7,0.7,0.7,0,0,0,2,72.0,234.0,18,0,0,0,0,0,0.0,1,0,0,14.0,78.0
21872544,0.67,0.93,0.84,0.85,0.81,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
183710909,0.7,0.7,0.8,0.8,0.8,0,0,0,2,107.0,124.0,278,0,0,0,0,2388,0.0,1,0,0,0.0,12.0
183710909,0.7,0.7,0.8,0.8,0.8,0,0,0,2,107.0,124.0,278,0,0,0,0,2388,0.0,1,0,0,0.0,12.0
183710909,0.81,0.85,0.89,0.91,0.89,0,0,0,2,107.0,124.0,278,0,0,0,0,2388,0.0,1,0,0,0.0,12.0
